bird_ID,Mother,Father
1048,927,333
1049,641,281
1050,880,1638
1051,890,313
1052,927,1639
1054,1029,264
1055,823,331
1056,959,302
1057,1038,374
1058,969,331
1059,927,1639
1060,939,1639
1061,916,370
1064,945,1647
1066,1007,281
1067,1010,370
1069,835,1649
1070,945,1647
1071,835,1649
1072,1016,1649
1073,990,331
1074,886,1015
1076,1030,1633
1077,1016,1015
1078,1034,1301
1079,888,329
1080,1086,1659
1081,1010,1324
1082,1023,1645
1083,1058,1305
1084,1072,382
1085,987,1654
1086,674,320
1087,984,331
1088,994,1674
1089,1049,1301
1090,1007,1639
1091,1007,1639
1092,1019,290
1093,804,1647
1094,932,1680
1095,1016,952
1097,932,1680
1098,1019,1649
1099,973,1316
1101,967,1633
1102,700,1654
1103,1023,1674
1104,916,952
1105,916,952
1106,1027,1674
1107,932,1633
1108,1082,1339
1109,857,952
1110,698,1300
1111,967,952
1112,963,952
1113,1001,952
1114,965,952
1115,1016,1301
1116,1016,1300
1117,1000,1698
1118,1001,1698
1119,1016,1301
1120,965,952
1121,1019,1301
1124,907,1698
1125,1016,1301
1126,1030,302
1300,655,312
1301,637,312
1302,999,322
1303,815,382
1304,944,268
1305,999,333
1306,670,374
1307,916,319
1308,862,264
1309,946,268
1310,820,264
1311,820,333
1312,868,313
1313,804,312
1314,1086,1640
1315,650,388
1316,806,278
1317,862,333
1318,965,264
1319,947,1657
1320,965,264
1321,1001,331
1322,934,329
1323,700,268
1324,965,264
1325,971,259
1326,880,374
1327,880,374
1328,633,322
1329,630,364
1330,1001,305
1331,908,302
1332,959,302
1333,806,382
1334,655,392
1335,659,1669
1336,1007,281
1337,945,1647
1338,1038,370
1339,1010,370
1340,1036,954
1341,945,954
1342,627,281
1343,806,1669
1344,963,1669
1345,972,1310
1346,1029,331
1347,1019,1015
1348,1059,1015
1349,1036,382
1350,1007,1305
1351,659,372
1352,1054,1300
1353,966,1654
1354,1056,1301
1355,1049,1301
1356,1056,1301
1357,930,1674
1358,1056,1301
1359,1054,1326
1360,1007,1639
1361,1033,329
1362,1029,1680
1363,1072,1654
1364,1038,1680
1365,1049,331
1366,932,1671
1367,698,1654
1368,932,1680
1369,932,1680
1370,908,302
1371,1036,1320
1372,966,302
1373,835,1654
1375,944,1633
1376,987,302
1377,1023,1674
1378,928,382
1379,1023,1674
1380,888,1301
1381,888,1326
1382,1019,1300
1383,969,1339
1384,828,1345
1385,1001,1698
1386,985,952
1387,969,1339
1388,930,1651
1389,698,1300
1390,870,1300
1391,804,302
1392,1000,1698
1393,870,1300
1394,1045,1301
1395,966,952
1396,908,1698
1397,1049,1301
1398,985,952
1399,967,954
1649,868,
1654,643,302
1656,679,5474
1659,700,320
1669,639,321
1682,865,280
1687,823,397
1689,501,288
1694,639,280
1695,806,382
1696,599,382
1698,810,288
1699,599,382
1700,857,382
261,554,182
292,596,253
320,561,243
349,503,279
501,596,253
635,580,222
639,580,222
657,585,261
700,836,280
820,561,313
821,634,279
836,692,308
850,690,313
857,965,264
892,635,292
944,623,302
952,623,302
955,625,5474
963,586,280
964,592,3520
974,689,249
979,501,312
982,1062,281
988,917,1620
G 19-0070-B 5.0,1052,1307
G200025,999,1659
G200054,1086,G14223
G200055,1098,1381
G200056,1072,1310
G200057,1095,1345
G200058,1084,1310
G200059,1108,1381
G200060,1018,1345
G200061,1082,1305
G200062,1050,1654
G200063,1043,1310
G200064,1038,1345
G200065,1077,1310
G200066,1019,1310
G200067,1077,1310
G200068,1055,1353
G200069,1107,1386
G200070,1016,AO27121649
G200071,1025,AO3999183
G200072,1033,1302
G200073,G 19-0070-B 5.0,1345
G200135,999,1659
G200136,999,1659
G200137,1025,AO7422181NL
G200272,1084,1310
G200273,1061,1345
G200274,1030,1381
G200275,1055,1305
G200276,1069,1346
G200277,1038,1345
G200278,1035,1305
G200279,1059,1669
G200280,1050,1302
G200281,1043,952
G200282,1114,1381
G200283,1056,1310
G200284,1070,1381
G200285,963,1310
G200286,G 19-0070-B 5.0,1345
G200287,1056,1310
G200288,963,1310
G200289,1025,AO3999183
G200290,1116,1654
G200291,AO 3999-18-8-NL 5,1310
G200526,AO 8219-18-7-NL 5,1310
G200527,1070,1381
G200528,AO 8219-18-7-NL 5,1310
G200529,1056,1310
G200530,AO 7956-17-27-NL 5,AIFAO16507
G200531,1052,CZ005
G200532,1052,CZ005
G200533,AO 7956-17-25-NL 5,704105
